id,left,top,mean_x,mean_y,mean_ndvi,stddev_ndvi,ndvi_water,ndvi_sand,ndvi_wasteland,ndvi_grass,ndvi_argoforests,ndvi_forest,mean_ndwi,stddev_ndwi,mean_ndbi,stddev_ndbi,mean_ui,stddev_ui,mean_laterite,stddev_laterite,mean_biotite,stddev_biotite,mean_fe3+,stddev_fe3+,mean_gossan,stddev_gossan,mean_fe2+,stddev_fe2+,mean_elv,std_elv,average_jan,average_feb,average_march,average_april,average_may,average_june,average_july,average_aug,average_sep,average_oct,average_nov,average_dec,annual_temp,average_jan_rain,average_feb_rain,average_march_rain,average_april_rain,average_june_rain,average_oct_rain,average_nov_rain
2890,73.11,36.91,73.085,36.885,-0.039694056,0.027736925,416,309352,1573,23,0,0,0.64812769,0.293567024,-0.64812769,0.293567024,-0.68459944,0.264487581,1.155859862,0.076422446,0.868980807,0.058201655,1.058461576,0.043685382,0.249872304,0.264197314,1.167988142,0.224395639,4717.384828,256.7137579,-20.34,-13.97,-8.03,-1.18,2.88,8.97,15.08,21.83,13.22,-2.67,-8.71,-18.69,-0.97,0.001493056,0.000750587,0.000887718,0.002146732,0.001307618,0.000930428,0.001775713
2898,73.51,36.91,73.485,36.885,-0.048020195,0.031489019,1240,308013,2111,0,0,0,0.71704452,0.28442627,-0.71704452,0.28442627,-0.744374751,0.261865032,1.146826351,0.067067491,0.874890932,0.05001639,1.059222646,0.05165037,0.202429118,0.275237116,1.126778818,0.210014362,4889.703899,201.5806995,-20.89,-16.97,-9.94,-2.51,2.21,7.79,13.96,20.5,8.53,-1.11,-11.28,-20.21,-2.49,0.001454021,0.000992014,0.00108785,0.002979126,0.001551194,0.00100343,0.002255881
3211,72.66,36.86,72.635,36.835,-0.052880414,0.020104808,1145,309581,80,0,0,0,0.818932324,0.223011804,-0.818932324,0.223011804,-0.83482584,0.210263523,1.149536978,0.087368781,0.874841991,0.065680134,1.055850595,0.033675742,0.115974016,0.197264949,1.0583833,0.179653896,4918.753906,312.541231,-23.98,-17.11,-12.01,-5.23,-0.8,2.93,5.35,8.84,4.45,-8.87,-13.93,-21.76,-6.84,0.001842016,0.00097724,0.001110556,0.003056938,0.001542833,0.001354865,0.002255084
3216,72.91,36.86,72.885,36.835,-0.043729304,0.030588274,1388,307415,2003,0,0,0,0.650992259,0.311082278,-0.650992259,0.311082278,-0.6863983,0.283489845,1.154379452,0.072321375,0.869648784,0.054107188,1.055165859,0.046011893,0.255633772,0.292826348,1.176508594,0.249739582,4856.122469,411.4525835,-21.37,-13.56,-8.3,-1.94,1.72,6.77,11.11,13.72,7.79,-4.54,-8.14,-18.57,-2.94,0.001552786,0.000833637,0.000898131,0.002458921,0.001442192,0.001110946,0.001920695
3221,73.16,36.86,73.135,36.835,0.013562171,0.077016159,727,220692,83848,3605,1041,336,0.246313542,0.446737169,-0.246313542,0.446737169,-0.308582397,0.415749271,1.179438967,0.088862611,0.852737704,0.065420888,1.070662113,0.060135699,0.905647625,0.684532767,1.617988906,0.480380059,4339.410808,686.6153328,-17.39,-11.66,-5.07,6.45,11.71,17.94,21.68,25.38,18.07,6.87,-0.93,-16.38,4.72,0.001493056,0.000750587,0.000887718,0.002146732,0.001307618,0.000930428,0.001775713
3226,73.41,36.86,73.385,36.835,0.056290044,0.117448242,2433,189381,70561,43614,3595,620,0.272640202,0.379533756,-0.272640202,0.379533756,-0.340747174,0.353752361,1.201279682,0.163561617,0.840508076,0.07058077,1.080882904,0.066833919,0.896316797,0.661574165,1.518546812,0.376934318,4122.442178,423.8425112,-21.58,-14.49,-7.24,1.01,10.85,18.13,24.15,27.88,16.42,-2.35,-10.31,-18.93,1.96,0.001496771,0.00093331,0.001099638,0.002877576,0.001520424,0.001054711,0.002191078
3231,73.66,36.86,73.635,36.835,-0.042620798,0.043276682,2816,299506,7887,40,0,0,0.652176284,0.366749787,-0.652176284,0.366749787,-0.681839361,0.342656897,1.147114737,0.069681884,0.874932522,0.052413762,1.054689846,0.065595019,0.301632818,0.419861215,1.20918401,0.304346591,4966.788766,317.0883062,-23.92,-17.14,-11.77,-3.44,-0.25,7.66,12.53,16.5,5.66,-5.94,-11.12,-21.12,-4.36,0.001454021,0.000992014,0.00108785,0.002979126,0.001551194,0.00100343,0.002255881
3541,72.66,36.81,72.635,36.785,-0.02355526,0.049187179,991,297157,9634,3421,161,0,0.568071325,0.345349435,-0.568071325,0.345349435,-0.609653428,0.319462083,1.17698822,0.082080056,0.853675794,0.058101572,1.064993994,0.044155876,0.355209144,0.372367317,1.240325343,0.300004485,4380.417964,325.1371959,-18.44,-11.86,-5.81,-0.2,5.51,11.77,16.99,21.08,12.35,-0.22,-3.77,-16.23,0.93,0.001842016,0.00097724,0.001110556,0.003056938,0.001542833,0.001354865,0.002255084
3546,72.91,36.81,72.885,36.785,0.006827893,0.081579403,317,255098,49921,2263,2145,1618,0.340206768,0.384770902,-0.340206768,0.384770902,-0.400268046,0.361230638,1.18525703,0.083225902,0.847604155,0.05693843,1.0914062,0.057436342,0.684556082,0.540730715,1.445058388,0.365560172,4313.597737,536.9547022,-18.62,-10.1,-3.72,4.13,8.55,13.18,15.31,19.85,11.45,2.36,-3.52,-15.6,1.94,0.001552786,0.000833637,0.000898131,0.002458921,0.001442192,0.001110946,0.001920695
3551,73.16,36.81,73.135,36.785,0.03988607,0.100666266,7691,191085,83818,26957,1128,127,0.187318488,0.3659822,-0.187318488,0.3659822,-0.23135139,0.348860727,1.111294248,0.104619577,0.907871888,0.085849894,1.05266018,0.054442754,0.98061717,0.626963413,1.695954937,0.427478685,4214.788533,492.5562042,-19.7,-13.29,-6.32,2.43,9.87,15.72,21.09,22.96,13.91,0.32,-7.63,-17.37,1.83,0.001493056,0.000750587,0.000887718,0.002146732,0.001307618,0.000930428,0.001775713
